exercise_name,link,url,file,body_part,equipment,primary_muscles,secondary_muscles,lyfta_exercise
Pull Up (Assisted),https://www.lyfta.app/exercise/pull-up-6rk,https://www.lyfta.app//video/GymvisualMP4/06521201.mp4,06521201.mp4,Back,Body weight,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Pull-up
Bent Over One Arm Row (Dumbbell),https://www.lyfta.app/exercise/one-arm-bent-over-row-8h,https://www.lyfta.app//video/GymvisualMP4/02921201.mp4,02921201.mp4,Back,Dumbbell,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",One Arm Bent-over Row
Shrug (Smith Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4,Back,Smith machine,Trapezius Upper Fibers,"Levator Scapulae, Trapezius Middle Fibers",Smith Shrug
Preacher Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi,https://www.lyfta.app//video/GymvisualMP4/18721201.mp4,18721201.mp4,"Biceps, Upper Arms",Leverage machine,,,Lever Preacher Curl
Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z,https://www.lyfta.app//video/GymvisualMP4/00911201.mp4,00911201.mp4,Shoulders,Barbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Barbell Seated Overhead Press
Bench Press (Smith Machine),https://www.lyfta.app/exercise/bench-press-7,https://www.lyfta.app//video/GymvisualMP4/00251201.mp4,00251201.mp4,Chest,Barbell,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",Bench Press
Cable Crossover,https://www.lyfta.app/en/exercise/standing-up-straight-crossovers-45,https://www.lyfta.app//video/GymvisualMP4/12691201.mp4,12691201.mp4,Chest,Cable,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",Standing Up Straight Crossovers
Cable Push Down Rope,https://www.lyfta.app/en/exercise/cable-pushdown-64a,https://www.lyfta.app//video/GymvisualMP4/02001201.mp4,02001201.mp4,"Triceps, Upper Arms",Cable,Triceps Brachii,,Cable Pushdown
Squat (Barbell),https://www.lyfta.app/en/exercise/barbell-full-squat-60n,https://www.lyfta.app//video/GymvisualMP4/00431201.mp4,00431201.mp4,"Quadriceps, Thighs",Barbell,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",Barbell Full Squat
Deadlift (Barbell),https://www.lyfta.app/exercise/deadlift-2,https://www.lyfta.app//video/GymvisualMP4/00321201.mp4,00321201.mp4,Hips,Barbell,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",Deadlift
Bent Over Row (Barbell),https://www.lyfta.app/en/exercise/bent-over-row-9,https://www.lyfta.app//video/GymvisualMP4/00271201.mp4,00271201.mp4,Back,Barbell,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers","Brachialis, Brachioradialis, Deltoid Posterior",Bent Over Row
Seated Row (Cable),https://www.lyfta.app/exercise/cable-seated-row-6x3,https://www.lyfta.app//video/GymvisualMP4/08611201.mp4,08611201.mp4,Back,Cable,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",Cable seated row
Lat Pulldown (Cable),https://www.lyfta.app/exercise/cable-wide-grip-lat-pulldown--7v7,https://www.lyfta.app//video/GymvisualMP4/22911201.mp4,22911201.mp4,Back,Cable,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Levator Scapulae, Teres Major, Teres Minor",Cable Wide-Grip Lat Pulldown
Shrug (Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4,Back,Smith machine,Trapezius Upper Fibers,"Levator Scapulae, Trapezius Middle Fibers",Smith Shrug
Hammer Curl (Cable),https://www.lyfta.app/exercise/cable-hammer-curl--63b,https://www.lyfta.app//video/GymvisualMP4/01651201.mp4,01651201.mp4,Forearms,Cable,Brachioradialis,"Biceps Brachii, Brachialis",Cable Hammer Curl
Incline Bench Press (Smith Machine),https://www.lyfta.app/exercise/incline-bench-press-p,https://www.lyfta.app//video/GymvisualMP4/00471201.mp4,00471201.mp4,Chest,Barbell,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",Incline Bench Press
Leg Extension (Machine),https://lyfta.app/exercise/lever-leg-extension-0b,https://www.lyfta.app//video/GymvisualMP4/05851201.mp4,05851201.mp4,"Quadriceps, Thighs",Leverage machine,Quadriceps,,Lever Leg Extension
Seated Calf Raise (Machine),https://www.lyfta.app/exercise/lever-seated-calf-raise--85l,https://www.lyfta.app//video/GymvisualMP4/26661201.mp4,26661201.mp4,Calves,Leverage machine,Gastrocnemius,Soleus,Lever Seated Calf Raise
Crunch (Machine),https://www.lyfta.app/exercise/lever-total-abdominal-crunch-7kh,https://www.lyfta.app//video/GymvisualMP4/18571201.mp4,18571201.mp4,Waist,Leverage machine,Rectus Abdominis,Obliques,Lever Total Abdominal Crunch
